College Code,College Name,College Type,Location,Branch,Category,Year,Rank,Round,Data Source
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","3AG",2024,49800,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","3AK",2023,5160,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","3AK",2024,23700,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","3AR",2022,6802,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","3AR",2024,58100,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","3BG",2022,4822,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","3BG",2023,4257,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","3BG",2024,26100,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","3BK",2023,7979,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","3BK",2024,48900,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","3BR",2023,6198,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","3BR",2024,43200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","GM",2022,4202,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","GM",2023,950,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","GM",2024,16500,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","SCG",2022,19929,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","SCG",2023,26148,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","SCG",2024,84300,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","SCK",2024,79200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","SCR",2022,22965,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","SCR",2023,33645,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","SCR",2024,68800,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","STG",2022,12296,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","STG",2023,24190,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","STG",2024,112400,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","STK",2024,99800,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","STR",2023,28919,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","STR",2024,121300,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","1G",2024,74200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","1K",2024,91200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","1R",2024,102000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","2AG",2024,94800,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","2AK",2024,106000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","2AR",2024,118000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","2BG",2024,81200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","2BK",2024,90200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","2BR",2024,99200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","3AG",2024,111000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","3AK",2024,84200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","3AR",2024,122000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","3BG",2024,85200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","3BK",2024,100200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","3BR",2024,94900,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","GM",2024,61200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","SCG",2024,138000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","SCK",2024,126000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","SCR",2024,114000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","STG",2024,153400,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","STK",2024,162500,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Biotechnology","STR",2024,177200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","1G",2024,65200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","1K",2024,81200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","1R",2024,94200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","2AG",2024,87200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","2AK",2024,97000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","2AR",2024,108000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","2BG",2024,69200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","2BK",2024,80200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","2BR",2024,89200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","3AG",2024,101000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","3AK",2024,73200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","3AR",2024,112000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","3BG",2024,74200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","3BK",2024,98000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","3BR",2024,88900,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","GM",2024,55200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","SCG",2024,128000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","SCK",2024,116000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","SCR",2024,104000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","STG",2024,143400,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","STK",2024,152500,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Chemical Engineering","STR",2024,167200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","1G",2022,66271,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","1G",2024,128500,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","1K",2023,96284,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","1K",2024,146300,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","1R",2022,66811,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","1R",2023,77746,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","1R",2024,172000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2AG",2022,68461,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2AG",2023,83360,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2AG",2024,153200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2AK",2022,71770,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2AK",2023,96248,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2AK",2024,194600,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2AR",2022,77151,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2AR",2023,80402,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2AR",2024,212700,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2BG",2022,76027,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2BG",2024,185900,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2BK",2023,105256,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2BK",2024,204300,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2BR",2022,130565,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2BR",2023,61486,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","2BR",2024,172900,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","3AG",2022,56151,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","3AG",2024,182000,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","3AK",2023,80200,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","3AK",2024,167400,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","3AR",2022,62276,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","3AR",2023,67191,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","3AR",2024,223500,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","3BG",2022,58789,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","3BG",2023,86716,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","3BG",2024,189600,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","3BK",2023,82164,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","3BK",2024,199700,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","3BR",2022,66309,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","3BR",2023,54199,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","3BR",2024,156900,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","GM",2022,46143,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","GM",2023,87651,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","GM",2024,107400,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","SCG",2022,71349,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","SCG",2023,64156,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Civil Engineering","SCG",2024,214700,"FIRST","current"
